Info
Standard query response 0x9d9a A www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www-bing-com.dual-a-0001.a-msedge.net CNAME dual-a-0001.a-msedge.net A 204.79.197.200 A 13.107.21.200
"443  >  62984 [PSH, ACK] Seq=8721675 Ack=8340 Win=541 Len=1440 [TCP segment of a reassembled PDU]"
443  >  62984 [ACK] Seq=6178333 Ack=5784 Win=531 Len=1440 [TCP segment of a reassembled PDU]
"443  >  62984 [PSH, ACK] Seq=6153853 Ack=5784 Win=531 Len=1440 [TCP segment of a reassembled PDU]"
62984  >  443 [ACK] Seq=12810 Ack=13191881 Win=4162 Len=0
443  >  61183 Len=812
443  >  62984 [ACK] Seq=13127081 Ack=12810 Win=557 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=8958897 Ack=8340 Win=541 Len=1440 [TCP segment of a reassembled PDU]
"[TCP Previous segment not captured] 443  >  62984 [PSH, ACK] Seq=14536547 Ack=14088 Win=562 Len=1440 [TCP segment of a reassembled PDU]"
[TCP Dup ACK 515#2] 62984  >  443 [ACK] Seq=36 Ack=420103 Win=4162 Len=0 SLE=428743 SRE=430183 SLE=425863 SRE=427303
62984  >  443 [ACK] Seq=10893 Ack=11470791 Win=4162 Len=0
"[TCP Previous segment not captured] 443  >  62984 [PSH, ACK] Seq=4105302 Ack=3868 Win=524 Len=1440 [TCP segment of a reassembled PDU]"
443  >  62984 [ACK] Seq=8163578 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
"443  >  62984 [PSH, ACK] Seq=10726790 Ack=10255 Win=548 Len=1440 [TCP segment of a reassembled PDU]"
443  >  62984 [ACK] Seq=1765860 Ack=1314 Win=515 Len=1440 [TCP segment of a reassembled PDU]
443  >  49926 Len=1200
62984  >  443 [ACK] Seq=675 Ack=698449 Win=4162 Len=0
443  >  62984 [ACK] Seq=9232264 Ack=8979 Win=543 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=9617 Ack=10206152 Win=4162 Len=0
443  >  62984 [ACK] Seq=12367798 Ack=12171 Win=555 Len=1440 [TCP segment of a reassembled PDU]
Application Data
[TCP Dup ACK 7730#1] 62984  >  443 [ACK] Seq=4506 Ack=4815156 Win=4162 Len=0 SLE=4816596 SRE=4818036
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=4701085 Ack=4506 Win=526 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=8340 Ack=8933618 Win=4162 Len=0
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=6690231 Ack=6423 Win=534 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=2119302 Ack=1953 Win=517 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=9823946 Ack=9617 Win=545 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=11527449 Ack=11497 Win=552 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=932937 Ack=675 Win=512 Len=1440 [TCP segment of a reassembled PDU]
